"cap";"categoria";"clifor";"cod_agente";"conto";"es_iva";"listino";"localita";"mastro";"natura";"pagamento";"pr";"rag_sociale1";"sconto";"spese";"tipo_fatturaz";"zona"
"52011";"DET";"C";"0";"136";"0";"82";"BIBBIENA";"14";"2";"RD3";"AR";"L'ISOLA DEI SAPORI DI";"0";"0";"1";"16"
"52012";"";"F";"0";"160";"0";"";"BIBBIENA";"40";"2";"R.D";"AR";"NOTAIO ZAZZARO MARCELLO";"0";"1";"N";""
"52012";"";"F";"0";"292";"0";"";"BIBBIENA";"40";"2";"RD3";"AR";"VIDEOTECNICA DI NORCINI";"0";"1";"N";""
"52012";"";"F";"0";"409";"0";"";"BIBBIENA";"40";"1";"R.D";"AR";"A.C.D.BIBBIENA";"0";"1";"N";""
"52012";"";"F";"0";"55";"0";"";"BIBBIENA STAZIONE";"40";"1";"RB3";"AR";"MENCUCCI SRL";"0";"1";"N";""
"52013";"";"F";"0";"466";"0";"";"PONTE A POPPI";"40";"2";"R.D";"AR";"AVV.MASSIMO MAZZI";"0";"1";"N";""
"52014";"DET";"C";"0";"102";"0";"";"CORTONA";"14";"1";"R.D";"AR";"PASTIFICIO SENESE SRL";"0";"0";"1";""
"52014";"";"C";"0";"29";"0";"";"LOC.PORRENA - POPPI";"14";"1";"R.D";"AR";"AUTOFFICINA CASENTINESE SRL";"0";"0";"2";"16"
"52014";"";"C";"0";"78";"0";"44";"POPPI";"14";"1";"RD3";"AR";"SPADI SRL";"0";"0";"1";"16"
"52014";"";"F";"0";"1";"0";"";"POPPI";"40";"1";"R3S";"AR";"LINA GIORGI SNC";"0";"1";"N";""
"52014";"";"F";"0";"119";"0";"";"POPPI";"40";"2";"R.D";"AR";"MERCANTE EUGENIO DOMENICO";"0";"1";"N";""
"52014";"";"F";"0";"126";"0";"";"POPPI";"40";"1";"R.D";"AR";"SUPERMERCATO FATUCCHI SAS";"0";"1";"N";""
"52014";"";"F";"0";"127";"0";"";"CORTONA";"40";"1";"R.D";"AR";"PASTA FRESCA ROSSI SAS";"0";"1";"N";""
"52014";"";"F";"0";"132";"0";"";"POPPI";"40";"1";"RB3";"AR";"F.M.AUTOSERVICE SNC";"0";"1";"N";""
"52014";"";"F";"0";"133";"0";"";"POPPI";"40";"2";"R.D";"AR";"ETRURIA DIGITALE DI SALVI";"0";"1";"N";""
"52014";"";"F";"0";"146";"0";"";"POPPI";"40";"2";"R.D";"AR";"FRANCIONI BRUNO DI FRANCIONI";"0";"1";"N";""
"52014";"";"F";"0";"164";"0";"";"POPPI";"40";"1";"RD3";"AR";"AZ.AGRICOLA LE PESCINE S.S. DI";"0";"1";"N";""
"52014";"";"F";"0";"165";"0";"";"POPPI";"40";"2";"RD3";"AR";"AZIENDA AGRIC. ORLANDI CLAUDIO";"0";"1";"N";""
"52014";"";"F";"0";"172";"0";"";"POPPI";"40";"2";"R.D";"AR";"RIST.ALBERGO LA TORRICELLA DI";"0";"1";"N";""
"52014";"";"F";"0";"174";"0";"";"POPPI";"40";"1";"R.D";"AR";"COMUNE DI POPPI";"0";"1";"N";""
"52014";"";"F";"0";"2";"0";"";"PONTE A POPPI";"40";"2";"3RD";"AR";"G & G GRAFICHE";"0";"1";"N";""
"52014";"";"F";"0";"227";"0";"";"POPPI";"40";"2";"R.D";"AR";"PICCOLO RISTORO DI CERTINI";"0";"1";"N";""
"52014";"";"F";"0";"24";"0";"";"POPPI";"40";"2";"";"AR";"PANE DOTT.FRANCESCO NOTAIO";"0";"1";"N";""
"52014";"";"F";"0";"242";"0";"";"PORRENA-POPPI";"40";"1";"RD3";"AR";"ACCIAI RINALDO SNC";"0";"1";"N";""
"52014";"";"F";"0";"249";"0";"";"POPPI";"40";"1";"R.D";"AR";"RISTORANTE CASENTINO DA BENITO";"0";"1";"N";""
"52014";"";"F";"0";"25";"0";"";"CORTONA";"40";"1";"3RD";"AR";"PASTA FRESCA ROSSI SRL";"0";"1";"N";""
"52014";"";"F";"0";"311";"0";"";"POPPI";"40";"1";"R.D";"AR";"CHARLIE SRLS";"0";"1";"N";""
"52014";"";"F";"0";"324";"0";"";"CORTONA";"40";"1";"R.D";"AR";"PASTIFICIO SENESE SRL";"0";"1";"N";""
"52014";"";"F";"0";"349";"0";"";"POPPI";"40";"1";"R.D";"AR";"LEVANTE DI VITELLOZZI D.&C SAS";"0";"1";"N";""
"52014";"";"F";"0";"353";"0";"";"POPPI";"40";"1";"RB6";"AR";"ZEUS IMPIANTI SRL";"0";"1";"N";""
"52014";"";"F";"0";"370";"0";"";"POPPI";"40";"1";"R.D";"AR";"ATLANTIC OIL-ALEX SNC DI";"0";"1";"N";""
"52014";"";"F";"0";"373";"0";"";"POPPI";"40";"2";"R.D";"AR";"CASENTINO PROMOTION DI";"0";"1";"N";""
"52014";"";"F";"0";"430";"0";"";"POPPI";"40";"1";"RD3";"AR";"IDRAULICA BONINI SRL";"0";"1";"N";""
"52014";"";"F";"0";"444";"0";"";"POPPI";"40";"2";"R.D";"AR";"L ANGOLO DELLA CASA DI";"0";"1";"N";""
"52014";"";"F";"0";"462";"0";"";"POPPI";"40";"1";"RB6";"AR";"GELATI SRL";"0";"1";"N";""
"52014";"";"F";"0";"50";"0";"";"POPPI";"40";"1";"R.D";"AR";"UNIONE DEI COMUNI MONTANI DEL";"0";"1";"N";""
"52014";"";"F";"0";"521";"0";"";"POPPI";"40";"1";"RD3";"AR";"FINSYSTEM 2.0 SRL";"0";"1";"N";""
"52014";"";"F";"0";"525";"0";"";"POPPI";"40";"1";"RD3";"AR";"AREA X ELETTRONICA SNC";"0";"1";"N";""
"52014";"";"F";"0";"526";"0";"";"POPPI";"40";"1";"RD3";"AR";"OFFICINA VAGNOLI ENRICO SNC";"0";"1";"N";""
